video,words,glosses,spoken_language,signed_language,start,end,priority,person_id
07069,book,book,en,ase,0,0,0,0
07074,book,book,en,ase,0,0,1,1
68011,book,book,en,ase,0,0,2,2
65225,book,book,en,ase,0,0,3,3
07068,book,book,en,ase,0,0,4,4
69241,book,book,en,ase,0,0,5,5
07075,book,book,en,ase,0,0,6,6
07070,book,book,en,ase,0,0,7,7
70212,book,book,en,ase,0,0,8,-1
07076,book,book,en,ase,0,0,9,6
68012,book,book,en,ase,0,0,10,2
70266,book,book,en,ase,0,0,11,8
17724,drink,drink,en,ase,0,0,0,-1
17720,drink,drink,en,ase,0,0,1,-1
17712,drink,drink,en,ase,0,0,2,9
65539,drink,drink,en,ase,0,0,3,10
65540,drink,drink,en,ase,0,0,4,10
17721,drink,drink,en,ase,0,0,5,-1
17722,drink,drink,en,ase,0,0,6,-1
17723,drink,drink,en,ase,0,0,7,11
17728,drink,drink,en,ase,0,0,8,-1
17725,drink,drink,en,ase,0,0,9,-1
17710,drink,drink,en,ase,0,0,10,4
17729,drink,drink,en,ase,0,0,11,6
17731,drink,drink,en,ase,0,0,12,6
69302,drink,drink,en,ase,0,0,13,12
17711,drink,drink,en,ase,0,0,14,13
17730,drink,drink,en,ase,0,0,15,6
68042,drink,drink,en,ase,0,0,16,2
68041,drink,drink,en,ase,0,0,17,2
17713,drink,drink,en,ase,0,0,18,14
17709,drink,drink,en,ase,0,0,19,15
70173,drink,drink,en,ase,0,0,20,8
12319,computer,computer,en,ase,0,0,0,16
12314,computer,computer,en,ase,0,0,1,17
12316,computer,computer,en,ase,0,0,2,17
12318,computer,computer,en,ase,0,0,3,17
12327,computer,computer,en,ase,0,0,4,1
12317,computer,computer,en,ase,0,0,5,17
12315,computer,computer,en,ase,0,0,6,17
12306,computer,computer,en,ase,0,0,7,18
12311,computer,computer,en,ase,0,0,8,19
12326,computer,computer,en,ase,0,0,9,1
12335,computer,computer,en,ase,0,0,10,6
12331,computer,computer,en,ase,0,0,11,6
12313,computer,computer,en,ase,0,0,12,20
12328,computer,computer,en,ase,0,0,13,1
68028,computer,computer,en,ase,0,0,14,2
12312,computer,computer,en,ase,0,0,15,20
12333,computer,computer,en,ase,0,0,16,6
12320,computer,computer,en,ase,0,0,17,7
12330,computer,computer,en,ase,0,0,18,6
12329,computer,computer,en,ase,0,0,19,6
05728,before,before,en,ase,0,0,0,21
05742,before,before,en,ase,0,0,1,1
05730,before,before,en,ase,0,0,2,21
05741,before,before,en,ase,0,0,3,1
05731,before,before,en,ase,0,0,4,17
05724,before,before,en,ase,0,0,5,18
05743,before,before,en,ase,0,0,6,1
05740,before,before,en,ase,0,0,7,11
05746,before,before,en,ase,0,0,8,6
05739,before,before,en,ase,0,0,9,11
05729,before,before,en,ase,0,0,10,22
65167,before,before,en,ase,0,0,11,23
05744,before,before,en,ase,0,0,12,6
05747,before,before,en,ase,0,0,13,6
05734,before,before,en,ase,0,0,14,24
05732,before,before,en,ase,0,0,15,11
05727,before,before,en,ase,0,0,16,20
70348,before,before,en,ase,0,0,17,8
68007,before,before,en,ase,0,0,18,2
05733,before,before,en,ase,0,0,19,11
09854,chair,chair,en,ase,0,0,0,1
09850,chair,chair,en,ase,0,0,1,0
68019,chair,chair,en,ase,0,0,2,2
65328,chair,chair,en,ase,0,0,3,3
09847,chair,chair,en,ase,0,0,4,18
09849,chair,chair,en,ase,0,0,5,20
09851,chair,chair,en,ase,0,0,6,7
09855,chair,chair,en,ase,0,0,7,6
09848,chair,chair,en,ase,0,0,8,25
70263,chair,chair,en,ase,0,0,9,-1
70230,chair,chair,en,ase,0,0,10,8
24946,go,go,en,ase,0,0,0,0
24952,go,go,en,ase,0,0,1,7
24857,go,go,en,ase,0,0,2,18
65824,go,go,en,ase,0,0,3,10
24962,go,go,en,ase,0,0,4,11
24956,go,go,en,ase,0,0,5,11
24960,go,go,en,ase,0,0,6,11
24961,go,go,en,ase,0,0,7,11
24955,go,go,en,ase,0,0,8,11
24954,go,go,en,ase,0,0,9,11
24943,go,go,en,ase,0,0,10,13
24947,go,go,en,ase,0,0,11,14
24941,go,go,en,ase,0,0,12,4
69345,go,go,en,ase,0,0,13,5
24940,go,go,en,ase,0,0,14,25
24969,go,go,en,ase,0,0,15,6
24970,go,go,en,ase,0,0,16,6
11313,clothes,clothes,en,ase,0,0,0,1
11314,clothes,clothes,en,ase,0,0,1,6
11305,clothes,clothes,en,ase,0,0,2,18
11309,clothes,clothes,en,ase,0,0,3,26
68024,clothes,clothes,en,ase,0,0,4,2
11315,clothes,clothes,en,ase,0,0,5,6
11310,clothes,clothes,en,ase,0,0,6,20
11311,clothes,clothes,en,ase,0,0,7,7
11316,clothes,clothes,en,ase,0,0,8,6
63227,who,who,en,ase,0,0,0,9
63228,who,who,en,ase,0,0,1,9
63236,who,who,en,ase,0,0,2,1
63237,who,who,en,ase,0,0,3,1
63229,who,who,en,ase,0,0,4,17
68183,who,who,en,ase,0,0,5,27
66779,who,who,en,ase,0,0,6,17
66778,who,who,en,ase,0,0,7,23
63230,who,who,en,ase,0,0,8,22
69534,who,who,en,ase,0,0,9,5
63226,who,who,en,ase,0,0,10,4
63240,who,who,en,ase,0,0,11,6
63219,who,who,en,ase,0,0,12,18
63231,who,who,en,ase,0,0,13,24
63239,who,who,en,ase,0,0,14,6
63225,who,who,en,ase,0,0,15,26
63232,who,who,en,ase,0,0,16,7
08924,candy,candy,en,ase,0,0,0,1
08918,candy,candy,en,ase,0,0,1,28
08917,candy,candy,en,ase,0,0,2,28
08925,candy,candy,en,ase,0,0,3,1
08909,candy,candy,en,ase,0,0,4,18
08921,candy,candy,en,ase,0,0,5,17
65298,candy,candy,en,ase,0,0,6,3
65299,candy,candy,en,ase,0,0,7,3
65300,candy,candy,en,ase,0,0,8,29
68018,candy,candy,en,ase,0,0,9,2
08927,candy,candy,en,ase,0,0,10,6
08920,candy,candy,en,ase,0,0,11,17
08926,candy,candy,en,ase,0,0,12,6
08919,candy,candy,en,ase,0,0,13,17
08916,candy,candy,en,ase,0,0,14,4
08915,candy,candy,en,ase,0,0,15,9
70326,candy,candy,en,ase,0,0,16,8
13642,cousin,cousin,en,ase,0,0,0,1
13641,cousin,cousin,en,ase,0,0,1,1
13640,cousin,cousin,en,ase,0,0,2,1
65415,cousin,cousin,en,ase,0,0,3,30
13631,cousin,cousin,en,ase,0,0,4,20
13632,cousin,cousin,en,ase,0,0,5,20
13643,cousin,cousin,en,ase,0,0,6,6
13633,cousin,cousin,en,ase,0,0,7,31
13634,cousin,cousin,en,ase,0,0,8,7
70332,cousin,cousin,en,ase,0,0,9,8
13635,cousin,cousin,en,ase,0,0,10,7
13630,cousin,cousin,en,ase,0,0,11,23
13636,cousin,cousin,en,ase,0,0,12,7
14883,deaf,deaf,en,ase,0,0,0,16
14885,deaf,deaf,en,ase,0,0,1,16
14884,deaf,deaf,en,ase,0,0,2,17
14886,deaf,deaf,en,ase,0,0,3,17
14894,deaf,deaf,en,ase,0,0,4,11
14893,deaf,deaf,en,ase,0,0,5,11
14855,deaf,deaf,en,ase,0,0,6,18
65445,deaf,deaf,en,ase,0,0,7,3
14887,deaf,deaf,en,ase,0,0,8,7
14888,deaf,deaf,en,ase,0,0,9,7
14899,deaf,deaf,en,ase,0,0,10,6
68033,deaf,deaf,en,ase,0,0,11,2
70015,deaf,deaf,en,ase,0,0,12,8
14882,deaf,deaf,en,ase,0,0,13,4
14896,deaf,deaf,en,ase,0,0,14,32
14898,deaf,deaf,en,ase,0,0,15,6
21883,fine,fine,en,ase,0,0,0,1
21878,fine,fine,en,ase,0,0,1,1
65717,fine,fine,en,ase,0,0,2,10
21870,fine,fine,en,ase,0,0,3,20
21884,fine,fine,en,ase,0,0,4,6
21872,fine,fine,en,ase,0,0,5,13
21886,fine,fine,en,ase,0,0,6,6
21887,fine,fine,en,ase,0,0,7,6
21871,fine,fine,en,ase,0,0,8,4
21869,fine,fine,en,ase,0,0,9,15
21874,fine,fine,en,ase,0,0,10,14
68048,fine,fine,en,ase,0,0,11,2
70234,fine,fine,en,ase,0,0,12,8
21885,fine,fine,en,ase,0,0,13,33
27215,help,help,en,ase,0,0,0,1
27194,help,help,en,ase,0,0,1,18
27213,help,help,en,ase,0,0,2,11
27214,help,help,en,ase,0,0,3,1
27216,help,help,en,ase,0,0,4,1
27207,help,help,en,ase,0,0,5,17
27209,help,help,en,ase,0,0,6,17
65890,help,help,en,ase,0,0,7,3
65891,help,help,en,ase,0,0,8,3
65889,help,help,en,ase,0,0,9,3
27217,help,help,en,ase,0,0,10,1
27208,help,help,en,ase,0,0,11,14
27206,help,help,en,ase,0,0,12,4
69364,help,help,en,ase,0,0,13,12
