video,gloss
69241,book
65225,book
68011,book
68012,book
70212,book
70266,book
07069,book
07068,book
07070,book
07099,book
07074,book
07075,book
07076,book
69302,drink
65539,drink
70173,drink
68042,drink
68041,drink
17725,drink
17728,drink
17710,drink
17729,drink
17730,drink
17731,drink
17733,drink
65540,drink
17734,drink
17711,drink
17712,drink
17713,drink
17709,drink
17720,drink
17721,drink
17722,drink
17723,drink
17724,drink
12306,computer
68028,computer
12328,computer
12329,computer
12330,computer
12312,computer
12331,computer
12333,computer
12335,computer
12311,computer
12338,computer
12313,computer
12314,computer
12315,computer
12316,computer
12317,computer
12318,computer
12319,computer
12320,computer
12326,computer
12327,computer
05724,before
70348,before
68007,before
05744,before
05746,before
05728,before
05747,before
05749,before
05750,before
05729,before
05730,before
65167,before
05731,before
05732,before
05733,before
05734,before
05727,before
05739,before
05740,before
05741,before
05742,before
05743,before
09847,chair
70230,chair
70263,chair
68019,chair
09848,chair
09869,chair
09849,chair
09850,chair
09851,chair
65328,chair
09854,chair
09855,chair
24857,go
69345,go
24955,go
24956,go
24941,go
24960,go
24961,go
24962,go
24969,go
24970,go
65824,go
24973,go
24943,go
24946,go
24947,go
24940,go
24952,go
24954,go
11305,clothes
68024,clothes
11310,clothes
11330,clothes
11311,clothes
11313,clothes
11314,clothes
11315,clothes
11309,clothes
11316,clothes
63219,who
69534,who
68183,who
63239,who
63240,who
63242,who
63226,who
63227,who
63228,who
63229,who
63230,who
63231,who
66778,who
63232,who
66779,who
63225,who
63236,who
63237,who
08909,candy
68018,candy
70326,candy
08929,candy
08916,candy
08917,candy
08918,candy
08919,candy
08920,candy
08921,candy
65298,candy
08924,candy
65299,candy
65300,candy
08915,candy
08925,candy
08926,candy
08927,candy
65415,cousin
70332,cousin
13647,cousin
13648,cousin
13631,cousin
13632,cousin
13633,cousin
13634,cousin
13635,cousin
13636,cousin
13630,cousin
13640,cousin
13641,cousin
13642,cousin
13643,cousin
13646,cousin
14855,deaf
70015,deaf
68033,deaf
14899,deaf
14882,deaf
14903,deaf
14883,deaf
14884,deaf
14885,deaf
14886,deaf
65445,deaf
14887,deaf
14888,deaf
14893,deaf
14894,deaf
14896,deaf
14898,deaf
65717,fine
70234,fine
68048,fine
21885,fine
21886,fine
21887,fine
21870,fine
21890,fine
21891,fine
21871,fine
21872,fine
21869,fine
21874,fine
21878,fine
21883,fine
21884,fine
27194,help
69364,help
27221,help
27206,help
27207,help
27208,help
27209,help
65890,help
27213,help
27214,help
65891,help
65889,help
27215,help
27216,help
27217,help
38482,no
69411,no
68110,no
38539,no
38540,no
38541,no
38525,no
38544,no
38527,no
38529,no
38530,no
38532,no
38533,no
66183,no
38524,no
38534,no
38538,no
57919,thin
57948,thin
57949,thin
57950,thin
57934,thin
57953,thin
57935,thin
57936,thin
57937,thin
66606,thin
57939,thin
57940,thin
57941,thin
57942,thin
66607,thin
57933,thin
57943,thin
57947,thin
62152,walk
68177,walk
62173,walk
62175,walk
62159,walk
62160,walk
62163,walk
62164,walk
66743,walk
66742,walk
62158,walk
62168,walk
62169,walk
62170,walk
62171,walk
64201,year
64211,year
68190,year
70306,year
64224,year
64210,year
64212,year
66818,year
64213,year
66816,year
64209,year
64219,year
64218,year
64221,year
64222,year
64275,yes
69546,yes
64287,yes
68192,yes
64284,yes
64291,yes
64292,yes
64293,yes
64294,yes
64295,yes
64296,yes
66820,yes
64297,yes
64280,yes
64300,yes
64281,yes
64288,yes
64283,yes
01912,all
69206,all
68001,all
02003,all
01987,all
01988,all
01991,all
01992,all
65043,all
01995,all
01986,all
01996,all
01997,all
02000,all
06455,black
69236,black
70244,black
06472,black
06473,black
06474,black
06476,black
06477,black
06478,black
06480,black
65200,black
06471,black
06481,black
06482,black
06483,black
06486,black
69281,cool
65403,cool
70271,cool
13213,cool
13214,cool
13197,cool
13216,cool
13217,cool
13198,cool
13199,cool
13200,cool
13201,cool
65402,cool
13202,cool
13203,cool
13196,cool
13208,cool
13209,cool
21933,finish
70361,finish
68050,finish
21942,finish
21943,finish
21944,finish
21945,finish
21949,finish
21950,finish
65721,finish
21941,finish
21951,finish
21952,finish
21953,finish
21954,finish
21955,finish
28074,hot
69368,hot
70270,hot
28125,hot
28108,hot
28109,hot
28110,hot
28111,hot
28112,hot
28115,hot
28116,hot
28107,hot
28118,hot
28119,hot
28120,hot
28121,hot
28122,hot
69389,like
33266,like
68093,like
70299,like
33285,like
33267,like
33286,like
33268,like
33269,like
33270,like
33273,like
33274,like
33277,like
33278,like
33279,like
33280,like
33281,like
33282,like
34822,many
69396,many
70308,many
34823,many
34824,many
34825,many
34826,many
34827,many
34830,many
34831,many
34832,many
34834,many
34835,many
34836,many
34839,many
36927,mother
69402,mother
36946,mother
36930,mother
36931,mother
36932,mother
36933,mother
36936,mother
